sample_id,bary_sift_cutoff_0_total,bary_sift_cutoff_0_algo1,bary_sift_cutoff_0_algo2,sift_bary_cutoff_0_total,sift_bary_cutoff_0_algo1,sift_bary_cutoff_0_algo2,permu_sift_cutoff_0_total,permu_sift_cutoff_0_algo1,permu_sift_cutoff_0_algo2,permu_bary_cutoff_0_total,permu_bary_cutoff_0_algo1,permu_bary_cutoff_0_algo2,bary_sift_cutoff_1_total,bary_sift_cutoff_1_algo1,bary_sift_cutoff_1_algo2,sift_bary_cutoff_1_total,sift_bary_cutoff_1_algo1,sift_bary_cutoff_1_algo2,permu_sift_cutoff_1_total,permu_sift_cutoff_1_algo1,permu_sift_cutoff_1_algo2,permu_bary_cutoff_1_total,permu_bary_cutoff_1_algo1,permu_bary_cutoff_1_algo2,bary_sift_cutoff_2_total,bary_sift_cutoff_2_algo1,bary_sift_cutoff_2_algo2,sift_bary_cutoff_2_total,sift_bary_cutoff_2_algo1,sift_bary_cutoff_2_algo2,permu_sift_cutoff_2_total,permu_sift_cutoff_2_algo1,permu_sift_cutoff_2_algo2,permu_bary_cutoff_2_total,permu_bary_cutoff_2_algo1,permu_bary_cutoff_2_algo2,bary_sift_cutoff_3_total,bary_sift_cutoff_3_algo1,bary_sift_cutoff_3_algo2,sift_bary_cutoff_3_total,sift_bary_cutoff_3_algo1,sift_bary_cutoff_3_algo2,permu_sift_cutoff_3_total,permu_sift_cutoff_3_algo1,permu_sift_cutoff_3_algo2,permu_bary_cutoff_3_total,permu_bary_cutoff_3_algo1,permu_bary_cutoff_3_algo2,bary_sift_cutoff_4_total,bary_sift_cutoff_4_algo1,bary_sift_cutoff_4_algo2,sift_bary_cutoff_4_total,sift_bary_cutoff_4_algo1,sift_bary_cutoff_4_algo2,permu_sift_cutoff_4_total,permu_sift_cutoff_4_algo1,permu_sift_cutoff_4_algo2,permu_bary_cutoff_4_total,permu_bary_cutoff_4_algo1,permu_bary_cutoff_4_algo2,bary_sift_cutoff_5_total,bary_sift_cutoff_5_algo1,bary_sift_cutoff_5_algo2,sift_bary_cutoff_5_total,sift_bary_cutoff_5_algo1,sift_bary_cutoff_5_algo2,permu_sift_cutoff_5_total,permu_sift_cutoff_5_algo1,permu_sift_cutoff_5_algo2,permu_bary_cutoff_5_total,permu_bary_cutoff_5_algo1,permu_bary_cutoff_5_algo2,bary_sift_cutoff_6_total,bary_sift_cutoff_6_algo1,bary_sift_cutoff_6_algo2,sift_bary_cutoff_6_total,sift_bary_cutoff_6_algo1,sift_bary_cutoff_6_algo2,permu_sift_cutoff_6_total,permu_sift_cutoff_6_algo1,permu_sift_cutoff_6_algo2,permu_bary_cutoff_6_total,permu_bary_cutoff_6_algo1,permu_bary_cutoff_6_algo2,bary_sift_cutoff_7_total,bary_sift_cutoff_7_algo1,bary_sift_cutoff_7_algo2,sift_bary_cutoff_7_total,sift_bary_cutoff_7_algo1,sift_bary_cutoff_7_algo2,permu_sift_cutoff_7_total,permu_sift_cutoff_7_algo1,permu_sift_cutoff_7_algo2,permu_bary_cutoff_7_total,permu_bary_cutoff_7_algo1,permu_bary_cutoff_7_algo2,bary_sift_cutoff_8_total,bary_sift_cutoff_8_algo1,bary_sift_cutoff_8_algo2,sift_bary_cutoff_8_total,sift_bary_cutoff_8_algo1,sift_bary_cutoff_8_algo2,permu_sift_cutoff_8_total,permu_sift_cutoff_8_algo1,permu_sift_cutoff_8_algo2,permu_bary_cutoff_8_total,permu_bary_cutoff_8_algo1,permu_bary_cutoff_8_algo2,bary_sift_cutoff_9_total,bary_sift_cutoff_9_algo1,bary_sift_cutoff_9_algo2,sift_bary_cutoff_9_total,sift_bary_cutoff_9_algo1,sift_bary_cutoff_9_algo2,permu_sift_cutoff_9_total,permu_sift_cutoff_9_algo1,permu_sift_cutoff_9_algo2,permu_bary_cutoff_9_total,permu_bary_cutoff_9_algo1,permu_bary_cutoff_9_algo2
0,0.14013759995577857,9.00006853044033e-07,0.1401361000025645,0.011596700001973659,3.00002284348011e-07,0.011595899995882064,0.15953359997365624,4.00003045797348e-07,0.15953279996756464,0.009838400001171976,4.00003045797348e-07,0.009837599995080382,0.15296460001263767,0.008306999981869012,0.14465670002391562,0.030627999978605658,0.0204521999694407,0.010175300005357713,0.2299390000407584,0.09131670003989711,0.1386218999978155,0.06458000000566244,0.05608449998544529,0.008495100017171353,0.13650520000373945,0.007363000011537224,0.12914189998991787,0.05267539998749271,0.039147500006947666,0.013527299975976348,0.29367879999335855,0.17179789999499917,0.12188049999531358,0.12449200003175065,0.11616169998887926,0.008329800039064139,0.12007659999653697,0.019428499974310398,0.10064770001918077,0.0725343999802135,0.06342299998505041,0.009110899991355836,0.38057759997900575,0.24937599996337667,0.13120110001182184,0.18326759996125475,0.17552659998182207,0.007740499975625426,0.1127373999916017,0.008323299989569932,0.10441369999898598,0.07314410002436489,0.06363180000334978,0.009511700016446412,0.32649940002011135,0.26779549999628216,0.058703400020021945,0.23482599999988452,0.22748929995577782,0.007336200040299445,0.08495640003820881,0.009053600020706654,0.07590240001445636,0.10057329997653142,0.08845979999750853,0.012112799973692745,0.32544819999020547,0.280937300005462,0.04451029998017475,0.30590209999354556,0.297293699986767,0.008607800002209842,0.06406509998487309,0.009624099999200553,0.05444049998186529,0.10651599999982864,0.09609669999917969,0.010418399993795902,0.37190510000800714,0.33153440000023693,0.04036939999787137,0.3465337000088766,0.33990770002128556,0.006624500034376979,0.0625006000045687,0.012096100021153688,0.05040409998036921,0.13474730000598356,0.12650020001456141,0.008246199984569103,0.4257789000403136,0.4007187000242993,0.02505860000383109,0.46593500004382804,0.45960560004459694,0.006327900046017021,0.03254210000159219,0.0110259999637492,0.02151580003555864,0.1422004000050947,0.13521679997211322,0.006982400023844093,0.4754789999569766,0.460465399955865,0.015012199990451336,0.46084889996564016,0.45489339996129274,0.005954299995210022,0.011568499961867929,0.011567799956537783,4.00003045797348e-07,0.15850220003630966,0.15850000001955777,1.200009137392044e-06,0.5076204999932088,0.507618099974934,1.100008375942707e-06,0.517358899989631,0.5173564999713562,1.00000761449337e-06
1,0.16484899999340996,7.00005330145359e-07,0.16484769998351112,0.011479999986477196,3.00002284348011e-07,0.011479099979624152,0.1585505999973975,4.00003045797348e-07,0.15854989999206737,0.009576699987519532,2.9994407668709755e-07,0.009575900039635599,0.14114619995234534,0.007847499975468963,0.13329789997078478,0.038925500004552305,0.028894799994304776,0.010030100005678833,0.2397865999955684,0.10072650003712624,0.13905969995539635,0.07244449999416247,0.06393559998832643,0.008508400002028793,0.15488289995118976,0.008275999978650361,0.14660639996873215,0.05537529999855906,0.04576649999944493,0.00960809999378398,0.2975107000092976,0.17101549997460097,0.12649470003088936,0.12525830004597083,0.11717889999272302,0.008078800048679113,0.11677840002812445,0.008362299995496869,0.10841580003034323,0.058292999980039895,0.04916120000416413,0.009131399972829968,0.3735930999973789,0.28059129999019206,0.09300130000337958,0.17813749995548278,0.17028289998415858,0.007854199968278408,0.10800860001472756,0.008776200003921986,0.09923200000775978,0.08334060001652688,0.07374520000303164,0.00959480000892654,0.28351360000669956,0.2209357999963686,0.06257720000576228,0.25034729996696115,0.2422321999911219,0.00811459997203201,0.09091530001023784,0.019645200052764267,0.07126960001187399,0.09734839998418465,0.08454720000736415,0.012800499971490353,0.3196585000259802,0.2719671000377275,0.047690799983683974,0.29846590000670403,0.29117819998646155,0.007287200016435236,0.0642500999965705,0.016674999962560833,0.04757460003020242,0.1030517999897711,0.09509660000912845,0.007953999971505255,0.38298769999528304,0.3465878000133671,0.03639830002794042,0.36767859995597973,0.36047359998337924,0.0072033999604173005,0.05039369995938614,0.010034199978690594,0.0403591999784112,0.11678329994902015,0.10875699995085597,0.008025299990549684,0.41673469997476786,0.38875959999859333,0.027973599964752793,0.42775149998487905,0.4214560999535024,0.00629390001995489,0.033196000033058226,0.01269000000320375,0.02050560002680868,0.14250189997255802,0.13555980002274737,0.0069407999981194735,0.4615320000448264,0.4462758000008762,0.01525480003328994,0.45277119998354465,0.44628789997659624,0.006482199998572469,0.030905599996913224,0.03090479999082163,3.00002284348011e-07,0.15351519995601848,0.1535137000028044,6.00004568696022e-07,0.5058840999845415,0.5058822999708354,8.00006091594696e-07,0.5270515999873169,0.5270489000249654,1.2999516911804676e-06
2,0.15701530000660568,8.00006091594696e-07,0.15701359999366105,0.016336600005161017,3.00002284348011e-07,0.016335899999830872,0.1147554999915883,3.00002284348011e-07,0.1147546999854967,0.008740700024645776,4.00003045797348e-07,0.008739800017792732,0.16699270001845434,0.012267399986740202,0.1547240000218153,0.04319910000776872,0.021202700037974864,0.02199599996674806,0.1661862000473775,0.07131090003531426,0.09487460000673309,0.07186480000382289,0.06298849999438971,0.008875900006387383,0.13961579999886453,0.01714959996752441,0.12246580002829432,0.05968389997724444,0.0501317999442108,0.009551600029226393,0.21925070002907887,0.12337200000183657,0.0958781000226736,0.1293386000324972,0.12112670001806691,0.008211400010623038,0.111025599995628,0.008230999985244125,0.10279420000733808,0.06940169999143109,0.06023190001724288,0.009169199969619513,0.25753409997560084,0.17854449996957555,0.07898900000145659,0.1871345000108704,0.17920600000070408,0.00792800000635907,0.10008830000879243,0.009049899992533028,0.09103790001245216,0.08547519997227937,0.0758973999763839,0.009577299992088228,0.32594259997131303,0.2631485000019893,0.06279359996551648,0.26818839996121824,0.2574198999791406,0.010767999978270382,0.09727529995143414,0.01000670000212267,0.08726820000447333,0.08598189998883754,0.07869890000438318,0.007282299979124218,0.40118700003949925,0.34856230003060773,0.05262410000432283,0.35511040000710636,0.34772660001181066,0.007383199990727007,0.06329620000906289,0.009946600010152906,0.05334919999586418,0.08287530002417043,0.07534450001548976,0.007529599999543279,0.4452939000329934,0.40369400003692135,0.04159869998693466,0.41813760000513867,0.41053509997436777,0.007601000019349158,0.051902800041716546,0.011012100032530725,0.04089040000690147,0.09724229999119416,0.08944770001107827,0.007793100026901811,0.4804108999669552,0.45187509997049347,0.028534599987324327,0.4870385999674909,0.479962199984584,0.007074899971485138,0.04536409996217117,0.028389499988406897,0.016974299971479923,0.13035920000402257,0.12296150001930073,0.007396399974822998,0.5388771999860182,0.5239052000106312,0.014970599964726716,0.5476694999961182,0.5416955999680795,0.005972800019662827,0.010261400020681322,0.010260800016112626,3.00002284348011e-07,0.11677109997253865,0.11676909995730966,7.00005330145359e-07,0.5679137000115588,0.5679109000484459,1.300009898841381e-06,0.5877697000396438,0.5877680000266992,8.00006091594696e-07
3,0.11637609999161214,8.00006091594696e-07,0.1163745999801904,0.011959100025705993,3.00002284348011e-07,0.01195820001885295,0.11060850002104416,3.00002284348011e-07,0.11060760001419112,0.013937000010628253,4.00003045797348e-07,0.013936300005298108,0.10796310001751408,0.006381499988492578,0.10158060002140701,0.02725539996754378,0.017918199999257922,0.009336399962194264,0.1587998000322841,0.05830140004400164,0.10049780004192144,0.09295209997799248,0.07572570000775158,0.017226099967956543,0.09665540000423789,0.006908499985001981,0.08974650001619011,0.04155409999657422,0.03231270000105724,0.00924079999094829,0.2154844999895431,0.12153819995000958,0.09394580003572628,0.15952360001392663,0.14735580002889037,0.012167399981990457,0.09007340000243858,0.007603600039146841,0.08246939996024594,0.049038700002711266,0.040260399982798845,0.008777700015343726,0.2520677999709733,0.1747775999829173,0.07728959998348728,0.22722599998814985,0.2177942999987863,0.009431099984794855,0.0731056000222452,0.010233799985144287,0.06287130003329366,0.058030800020787865,0.049427099991589785,0.008602700021583587,0.2934902999550104,0.22892709996085614,0.06456249998882413,0.30374629999278113,0.29483869997784495,0.008907200011890382,0.056245599989779294,0.007894599984865636,0.04835060000186786,0.07501390000106767,0.06735969998408109,0.007653600012417883,0.3302560999873094,0.2809387000161223,0.04931679996661842,0.38910849997773767,0.36608210002304986,0.023025899950880557,0.0501957000233233,0.008402000006753951,0.04179330001352355,0.07918859994970262,0.07198869995772839,0.007197999977506697,0.4119195000384934,0.3456047000363469,0.06631400005426258,0.4580998999881558,0.4498145999968983,0.008284300041850656,0.0379881999688223,0.009277599980123341,0.028710199985653162,0.10874259995762259,0.10212809999939054,0.006613100005779415,0.5998515000101179,0.5627278999891132,0.037122500012628734,0.5613162000081502,0.5531757000135258,0.008139099983964115,0.024867700005415827,0.009224899986293167,0.015642400016076863,0.1123712999979034,0.10573660000227392,0.006633499986492097,0.6591141999815591,0.6413223999552429,0.017790700017940253,0.621817999985069,0.6150183999561705,0.006798800022806972,0.010728500026743859,0.010727600019890815,4.00003045797348e-07,0.11671360000036657,0.11671139998361468,1.00000761449337e-06,0.680327899986878,0.6803259000298567,1.00000761449337e-06,0.7098627999657765,0.7098609000095166,8.00006091594696e-07
4,0.12085690000094473,8.00006091594696e-07,0.12085529998876154,0.01005699997767806,2.9994407668709755e-07,0.010056100029032677,0.11233879998326302,1.1499971151351929e-05,0.11232670000754297,0.01934970001457259,3.00002284348011e-07,0.019349000009242445,0.10007469996344298,0.006838599976617843,0.09323469997616485,0.030859199992846698,0.02119010000023991,0.009668299986515194,0.16235060000326484,0.06205800001043826,0.10029219998978078,0.085577399993781,0.07450960000278428,0.011067299987189472,0.09054860001197085,0.007511100033298135,0.08303699997486547,0.038237800006754696,0.028556099976412952,0.009681100025773048,0.20403790002455935,0.122618000023067,0.08141929999692366,0.17101359996013343,0.15969579998636618,0.011317199969198555,0.08274009998422116,0.006912000011652708,0.07582769996952266,0.04682750004576519,0.038659000012557954,0.008168000029399991,0.263171800004784,0.19155059999320656,0.07162070000777021,0.2153445000294596,0.20644229999743402,0.008901900029741228,0.07695570000214502,0.01092680002329871,0.06602849997580051,0.06120190001092851,0.050948900054208934,0.010252300009597093,0.3796788000036031,0.29119930003071204,0.08847899996908382,0.3031926999683492,0.29387240001233295,0.009319799952208996,0.05846219998784363,0.007992400031071156,0.05046949995448813,0.07762799999909475,0.06980499997735023,0.007822300016414374,0.49746559996856377,0.43994569999631494,0.057519399968441576,0.40002659999299794,0.39192339999135584,0.008102599997073412,0.05148439999902621,0.01140240003587678,0.04008150001754984,0.0889100999920629,0.08094519999576733,0.007963399984873831,0.5310177999781445,0.48274820001097396,0.048268399958033115,0.4511258999700658,0.44339239998953417,0.007732299971394241,0.03660300001502037,0.008822000003419816,0.027780400007031858,0.09269489999860525,0.08637299999827519,0.006320799991954118,0.5659056999720633,0.5264254999929108,0.039479299972299486,0.5176373000140302,0.510447499982547,0.007188700023107231,0.02593410003464669,0.009544900036416948,0.016388699994422495,0.1029217999894172,0.09718320000683889,0.005737199971918017,0.687807000009343,0.66299770004116,0.024808500020299107,0.6586042999988422,0.6518005999969319,0.006802799995057285,0.010006600001361221,0.010005799995269626,4.00003045797348e-07,0.11180899996543303,0.1118068000068888,9.00006853044033e-07,0.7059161000070162,0.7059141999925487,1.100008375942707e-06,0.6986494000302628,0.6986477000173181,6.00004568696022e-07
5,0.15534629998728633,8.999486453831196e-07,0.15534440003102645,0.011408900027163327,3.00002284348011e-07,0.011408100021071732,0.14820469997357577,2.00001522898674e-07,0.14820399996824563,0.011569200025405735,3.00002284348011e-07,0.01156850002007559,0.134351400018204,0.009734700026456267,0.12461579998489469,0.03977700002724305,0.01864620001288131,0.021130100009031594,0.2238006999832578,0.08029129996430129,0.14350890001514927,0.10561080003390089,0.08465170004637912,0.02095870004268363,0.13897709996672347,0.00791619997471571,0.13106059998972341,0.056107799988240004,0.030973899993114173,0.025133299990557134,0.29198119998909533,0.16908490000059828,0.12289589998545125,0.14239719999022782,0.13199560000794008,0.01040089997695759,0.1187882000231184,0.010727500019129366,0.10806040000170469,0.06131580000510439,0.0494557999772951,0.011859600024763495,0.38446099997963756,0.2583867000066675,0.1260735999676399,0.2297891000052914,0.21981879998929799,0.009969900012947619,0.0993021999602206,0.014561399992089719,0.08474039996508509,0.10389729996677488,0.09174479998182505,0.01215199998114258,0.4256689000176266,0.34395110001787543,0.0817172999959439,0.3189474000246264,0.3094919999712147,0.009454900049604475,0.097496299946215,0.009552999981679022,0.08794289996149018,0.1043249000213109,0.09194660000503063,0.012377700011711568,0.4499286999925971,0.3814528999500908,0.06847530003869906,0.394680299970787,0.38570220000110567,0.008977599965874106,0.07502250000834465,0.009688500023912638,0.06533359998138621,0.1019969999906607,0.09326739999232814,0.008727900043595582,0.5387834999710321,0.46925139997620136,0.06953039998188615,0.4892410999746062,0.47992180002620444,0.00931789999594912,0.06424089998472482,0.011736999964341521,0.05250340001657605,0.14113760000327602,0.1338629000238143,0.007273399969562888,0.5881255999556743,0.5518689999589697,0.036255399987567216,0.5202653000014834,0.5125115000410005,0.007752399949822575,0.033283299999311566,0.010379700048360974,0.022903199947904795,0.13289649999933317,0.12516520003555343,0.007729899953119457,0.6054119999753311,0.5875285999500193,0.017882200016174465,0.5881066999863833,0.5815844999742694,0.006521100003737956,0.010851399973034859,0.010850599966943264,3.00002284348011e-07,0.1339404999744147,0.13393849995918572,8.00006091594696e-07,0.6719900000025518,0.671987599984277,1.100008375942707e-06,0.6746077999705449,0.674605900014285,1.00000761449337e-06
6,0.18447430001106113,8.00006091594696e-07,0.18447290000040084,0.011038199998438358,4.00003045797348e-07,0.011037399992346764,0.17301490000681952,4.00003045797348e-07,0.17301410000072792,0.010863700008485466,4.00003045797348e-07,0.010862900002393872,0.15837989997817203,0.008041599998250604,0.15033689996926114,0.037012699991464615,0.026860799989663064,0.010151299997232854,0.2245454000076279,0.08627520001027733,0.13826969999354333,0.09002340002916753,0.06998290005140007,0.02003999997396022,0.13193899998441339,0.007882500009145588,0.124056099972222,0.05303060001460835,0.035429100040346384,0.017600999970454723,0.3133155000396073,0.17017100000521168,0.1431441000313498,0.16223159997025505,0.15241209999658167,0.009819099970627576,0.11458210001001135,0.00825559999793768,0.10632610000902787,0.07021500001428649,0.06044339999789372,0.00977110001258552,0.40411220001988113,0.2901956000132486,0.11391610000282526,0.2508158999844454,0.24135050002951175,0.009465000010095537,0.11888260004343465,0.008776300004683435,0.11010590003570542,0.088399899948854,0.07818109996151179,0.010218299983534962,0.38053830002900213,0.29687380004907027,0.08366400003433228,0.305150100030005,0.2951871000113897,0.009962500014808029,0.08586629998171702,0.01253150001866743,0.0733345000189729,0.10101089999079704,0.09271400002762675,0.008296499960124493,0.4520596000365913,0.3842003000318073,0.06785880000097677,0.39151759998640046,0.37207979999948293,0.01943729998311028,0.0774869000306353,0.009697900037281215,0.06778869999106973,0.09828779997769743,0.08994069998152554,0.008346199989318848,0.5048068999894895,0.45409459999063984,0.05071109998971224,0.4507240999955684,0.4417564999894239,0.008966399997007102,0.053481999959331006,0.012942000001203269,0.04053969995584339,0.11441950005246326,0.10696699999971315,0.007451200042851269,0.5340779999969527,0.498161900031846,0.035915000014938414,0.5292778000002727,0.5220259000197984,0.007250699971336871,0.04378160001942888,0.010639199987053871,0.03314200002932921,0.14260940003441647,0.13366200000746176,0.008946500020101666,0.6103278999798931,0.5896655999822542,0.020661399990785867,0.6166368999984115,0.5942367999814451,0.022399300010874867,0.010985700006131083,0.010985100001562387,2.00001522898674e-07,0.15374099998734891,0.15373889997135848,1.200009137392044e-06,0.6574451000196859,0.6574432000052184,1.00000761449337e-06,0.648312299977988,0.6483104999642819,9.00006853044033e-07
7,0.169099599996116,8.00006091594696e-07,0.16909799998393282,0.011684600031003356,5.00003807246685e-07,0.011683700024150312,0.1634279999998398,3.00002284348011e-07,0.16342729999450967,0.012973999953828752,3.00002284348011e-07,0.012973399949260056,0.17558769998140633,0.022656399989500642,0.15292979998048395,0.039705000002868474,0.0295800999738276,0.010124400025233626,0.23029669997049496,0.07726029999321327,0.15303589997347444,0.08859410003060475,0.07862590003060177,0.009967799996957183,0.1459379000007175,0.02300950000062585,0.1229280000552535,0.06631350005045533,0.05329930002335459,0.013013600022532046,0.3171126000233926,0.17726490000495687,0.13984730001538992,0.167598900035955,0.15809670003363863,0.0095017000567168,0.09701240004505962,0.008401600003708154,0.08861050003906712,0.06232420000014827,0.053041000035591424,0.009282499959226698,0.38541569997323677,0.2682624000008218,0.11715289996936917,0.23159370000939816,0.22246229997836053,0.009130600024946034,0.09503219998441637,0.009828199981711805,0.08520359999965876,0.091236200009007,0.08190049999393523,0.009335200011264533,0.42125159996794537,0.33087619999423623,0.09037499997066334,0.3100529999937862,0.3011899999692105,0.008862600021529943,0.08837770001264289,0.007515700010117143,0.0808614999987185,0.0938937000464648,0.08116640005027875,0.012726700049825013,0.44647530000656843,0.38552219996927306,0.060952700034249574,0.39103589998558164,0.3818992999731563,0.009136200009379536,0.0763685000129044,0.015069900022353977,0.06129829998826608,0.1378510000067763,0.1298704000073485,0.007979599991813302,0.5046031000092626,0.4559970999835059,0.048604800016619265,0.4871370999608189,0.4761119000031613,0.011023800005204976,0.060789600014686584,0.024455100006889552,0.036334100004751235,0.14202919998206198,0.13261500000953674,0.00941280002007261,0.5863322999794036,0.5547114000073634,0.031619799963664263,0.5697024000110105,0.5503332000225782,0.019368100038263947,0.0289298000279814,0.01064079999923706,0.018288600025698543,0.1457384999957867,0.13876040000468493,0.006977099983487278,0.645214100019075,0.6263846000074409,0.01882840000325814,0.6336224999977276,0.6268280000076629,0.006793899985495955,0.014954100013710558,0.014953200006857514,4.00003045797348e-07,0.1537545000319369,0.15375210001366213,9.00006853044033e-07,0.7261639999924228,0.7261623999802396,9.00006853044033e-07,0.6798408999457024,0.6798389999894425,9.999494068324566e-07
8,0.14837750000879169,1.100008375942707e-06,0.14837539999280125,0.013652299996465445,4.00003045797348e-07,0.01365149999037385,0.15534769999794662,3.00002284348011e-07,0.15534699999261647,0.015603300009388477,3.00002284348011e-07,0.015602600004058331,0.1056080000125803,0.007161699992138892,0.09844540001358837,0.03437620005570352,0.02422260004095733,0.010153000010177493,0.22270559996832162,0.07982889999402687,0.1428763999720104,0.09282929997425526,0.08295760001055896,0.009871299960650504,0.10743440000806004,0.008026800001971424,0.09940720000304282,0.06995979999192059,0.05963810003595427,0.01032100000884384,0.3202690000180155,0.19651350000640377,0.12375500000780448,0.17314640001859516,0.1614611999830231,0.011684700031764805,0.12538370001129806,0.009608799999114126,0.11577460000989959,0.06410979997599497,0.053259900014381856,0.010849399957805872,0.36012319999281317,0.27213019999908283,0.08799249998992309,0.2680852999910712,0.25914739997824654,0.008937400009017438,0.10606159997405484,0.009650599968153983,0.09641040000133216,0.08224120002705604,0.0734280000324361,0.008812699990812689,0.4453724999912083,0.3669478999800049,0.07842420000815764,0.3331921999924816,0.3247047999757342,0.008486800012178719,0.09603839996270835,0.009658199967816472,0.08637989999260753,0.10795079998206347,0.09788710001157597,0.01006310002412647,0.48151099996175617,0.41714669996872544,0.06436399999074638,0.4373251999495551,0.42104549997020513,0.016279299976304173,0.06150569999590516,0.010010700032580644,0.05149459996027872,0.13426280004205182,0.12351539998780936,0.010746500047389418,0.565046000003349,0.5224397999700159,0.04260540002724156,0.510587900003884,0.5023310999968089,0.008255799999460578,0.05865989997982979,0.02237660001264885,0.03628299996489659,0.13352020003367215,0.12575780000770465,0.007761600019875914,0.5871987999998964,0.5423773999791592,0.044820600014645606,0.5695876000099815,0.5602344000362791,0.009352399967610836,0.03233429999090731,0.01098750001983717,0.021346499968785793,0.14054399996530265,0.13384289998793975,0.006699999968986958,0.6769795000436716,0.6494546000030823,0.02752400003373623,0.6392746999626979,0.632489199982956,0.006784599972888827,0.013866599998436868,0.013865899993106723,3.00002284348011e-07,0.15637139999307692,0.15636910003377125,1.100008375942707e-06,0.6824679999845102,0.6824659999692813,9.00006853044033e-07,0.6851491999696009,0.6851473999558948,8.00006091594696e-07
